Harry,Potter
Hermione,Granger
Ron,Weasley
Ginny,Weasley
Fred,Weasley
George,Weasley
Percy,Weasley
Arthur,Weasley
Molly,Weasley
Bill,Weasley
Charlie,Weasley
Albus,Dumbledore
Aberforth,Dumbledore
Ariana,Dumbledore
Minerva,McGonagall
Severus,Snape
Rubeus,Hagrid
Draco,Malfoy
Lucius,Malfoy
Narcissa,Malfoy
Bellatrix,Lestrange
Rodolphus,Lestrange
Rabastan,Lestrange
Sirius,Black
Regulus,Black
Phineas Nigellus,Black
Andromeda,Tonks
Nymphadora,Tonks
Ted,Tonks
Remus,Lupin
Peter,Pettigrew
Neville,Longbottom
Augusta,Longbottom
Luna,Lovegood
Xenophilius,Lovegood
Cho,Chang
Cedric,Diggory
Amos,Diggory
Dean,Thomas
Seamus,Finnigan
Lavender,Brown
Parvati,Patil
Padma,Patil
Filius,Flitwick
Pomona,Sprout
Horace,Slughorn
Sybill,Trelawney
Gilderoy,Lockhart
Quirinus,Quirrell
Dolores,Umbridge
Argus,Filch
Poppy,Pomfrey
Rolanda,Hooch
Cuthbert,Binns
Bathilda,Bagshot
Elphias,Doge
Dedalus,Diggle
Mundungus,Fletcher
Kingsley,Shacklebolt
Rufus,Scrimgeour
Cornelius,Fudge
Bartemius,Crouch Sr.
Bartemius,Crouch Jr.
Igor,Karkaroff
Viktor,Krum
Fleur,Delacour
Gabrielle,Delacour
Olympe,Maxime
Stan,Shunpike
Ernie,Macmillan
Hannah,Abbott
Susan,Bones
Amelia,Bones
Terry,Boot
Anthony,Goldstein
Michael,Corner
Oliver,Wood
Katie,Bell
Alicia,Spinnet
Angelina,Johnson
Marcus,Flint
Pansy,Parkinson
Gregory,Goyle
Vincent,Crabbe
Millicent,Bulstrode
Theodore,Nott
Blaise,Zabini
Garrick,Ollivander
Pius,Thicknesse
Mafalda,Hopkirk
